created_at,favorite_count,favorited,filter_level,lang,retweet_count,retweeted,source,text,truncated,user_created_at,user_followers_count,user_location,user_lang,user_name,user_screen_name,user_time_zone,user_utc_offset,user_friends_count
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Tue Jul 05 17:43:52 +0000 2016,76,,en,b'bRUH',b'GC91816',,,403
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @thatfilmstew: NEW EPISODE! (Listen / download)\nThat Film Stew Ep 116 - Ready Player One Review https://t.co/illJJjCMAm #Podcast #Podcas\xe2\x80\xa6',FALSE,Sun Apr 05 07:18:35 +0000 2015,12729,"Perth, Australia",en,b'The Countdown Pod',b'thecountdownpc',Perth,28800,10300
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:03 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Sat Oct 17 18:28:31 +0000 2015,378,Bay Area,en,b'Julio \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbe',b'trxll_nij',,,369
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:04 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Wed Jun 02 02:47:06 +0000 2010,554,MX/NCT/RV/SVT/BTS/SHINee,en,b'Mara',b'ultmonsterx',Eastern Time (US & Canada),-14400,145
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:04 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sun May 07 18:02:11 +0000 2017,53,,en,b'\xf0\x9f\x90\x9dBeanz4life\xf0\x9f\x8d\x8d',b'Ireneismybaby',,,108
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:04 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @Jasmine_blu: omg look what happened when i was waiting to meet black panther ; w ; \xe2\x99\xa1 https://t.co/QxEsGTQooL',FALSE,Wed Aug 13 23:04:29 +0000 2014,1204,The World ,en,b'RJ \xe2\x9c\x8c\xef\xb8\x8f',b'CoolinWith5H',,,883
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:06 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Tue May 20 09:27:06 +0000 2014,474,ksoo's bushy brows,en,b'jjong dayyyyy',b'yeolsoouIt',,,131
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:08 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @chancetherapper: S/o @Tip forreal. I never knew the founder of The Black Panther Party earned a Ph.D in Social Science from the Univers\xe2\x80\xa6',FALSE,Sun Mar 01 21:23:32 +0000 2009,3108,"New York, NY",en,b'Rev. Decat\xc3\xbar',b'dstarwriter59',Eastern Time (US & Canada),-14400,1234
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:08 +0000 2018,0,FALSE,low,es,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'","b'RT @AndresNavyz: Es lo m\xc3\xa1ximo esta movie, neta\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x98\xa9 https://t.co/DLNo2NHGlE'",FALSE,Tue Dec 15 04:57:16 +0000 2015,52,"Tamaulipas, México",en,b'Diana Uvalle\xf0\x9f\xa6\x84',b'Uvalleludia',,,128
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:08 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>'","b""RT @TMZ: 'Black Panther' To Break Saudi Arabia's 35-Year Cinema Ban (via @Fox411) https://t.co/WFV8Pw3PXk""",FALSE,Fri Apr 24 23:38:55 +0000 2009,46,,en,b'Evelyn Quiles',b'eev1',,,262
,,,,,,,,,,,,,,,,,,
Mon Apr 09 04:10:10 +0000 2018,0,FALSE,low,en,0,FALSE,"b'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>'",b'RT @nakiamnger: Visual representation of Black Panther passing the Titanic in the U.S. box office. https://t.co/R927oIeibZ',FALSE,Sat Jan 17 16:28:22 +0000 2015,534,"Fort Worth, TX",en,b'Vic From H\xce\xa9gwarts',b'Aceboogie_V',,,513
,,,,,,,,,,,,,,,,,,
